id,card_name,set_name,set_id,card_image,card_text,card_color,card_type,rarity,card_cost,card_power,attribute,sub_types,counter_amount,life,market_price,inventory_price,updated_at,card_set_id
OP17-015,Marco,OP17,OP-17,,"If one of your Characters would be removed from the field by your opponent's effect, you may K.O. this Character instead.\n[On K.O.] You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand: Play this Character card from your trash.",Red,Character,UC,5,6000,Special,Whitebeard Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-015
OP17-016,Rakuyo,OP17,OP-17,,"[On Play] K.O. up to 2 of your opponent's Characters with 2000 base power or less.",Red,Character,C,3,2000,,Whitebeard Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-016
OP17-019,I Don't Have time to Chat with Snot-Nosed Brats,OP17,OP-17,,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Whitebeard pirates"" and add it to your hand. then, place the rest at the bottom of your deck in any order.\n[Trigger] your Leader gains +1000 power during this turn.",Red,Event,R,1,,,The Four Emperors/Whitebeard Pirates,,,,,2026-08-05 00:00:00+00,OP17-019
OP17-020,Shanks,OP17,OP-17,,"[Activate:Main][Once Per Turn] You may trash 1 card from your hand or rest 1 of your DON!! cards: up to 1 of your opponent's rested Characters will not become active in your opponent's next Refresh Phase.",Green,Leader,L,,5000,Slash,The Four Emperors/Red-Haired Pirates,,5,,,2026-08-05 00:00:00+00,OP17-020
OP17-021,Crone Oli,OP17,OP-17,,"If your Character with a type including ""Red-Haired Pirates"" would be removed from the field by your opponent's effect, you may rest 1 of your cards instead.",Green,Character,C,1,0,,Red-Haired Pirates Allies,2000,,,,2026-08-05 00:00:00+00,OP17-021
OP17-022,Shanks,OP17,OP-17,,"[Rush]\n[On Play] Set up to 2 of your DON!! cards as active. Then, rest all of your opponent's Characters.",Green,Character,SR,10,12000,Slash,The Four Emperors/Red-Haired Pirates,,,,,2026-08-05 00:00:00+00,OP17-022
OP17-024,Howling Gab,OP17,OP-17,,"[Banish]\n[On Play] Rest up to 1 of your opponent's Characters.",Green,Character,C,8,8000,,Red-Haired Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-024
OP17-025,Building Snake,OP17,OP-17,,"[On K.O.] K.O. up to 1 of your opponent's rested Characters with a cost of 6 or less.\n[Activate:Main][Once Per Turn] Give up to 1 rested DON!! card to your [Shanks] Leader.",Green,Character,UC,4,5000,Slash,Red-Haired Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-025
OP17-026,Fugar,OP17,OP-17,,"[When Attacking] If your Leader has the {Red-Haired Pirates} type, rest up to 1 of your opponent's Characters with a cost of 2 or less.\n[On K.O.] Draw 1 card.",Green,Character,UC,1,2000,Slash,Red-Haired Pirates Allies,2000,,,,2026-08-05 00:00:00+00,OP17-026
OP17-027,Benn Beckman,OP17,OP-17,,"[Rush:Character]\n[On Play] If your Leader has the {Red-Haired Pirates} type, draw 1 card and rest up to 2 of your opponent's Characters.",Green,Character,R,7,9000,Ranged,Red-Haired Pirates,,,,,2026-08-05 00:00:00+00,OP17-027
OP17-028,Bonk Punch & Monster,OP17,OP-17,,"[Blocker]\n[On Play] K.O. up to 1 of your opponent's rested Characters with a cost of 6 or less.",Green,Character,C,4,3000,Strike,Animal/Red-Haired Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-028
OP17-029,Hongo,OP17,OP-17,,"[Blocker]\n[On Play] Set up to 1 of your DON!! cards as active. Then, rest up to 2 of your opponent's Characters with a cost of 2 or less.",Green,Character,R,4,4000,Strike,Red-Haired Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-029
OP17-030,Monkey.D.Luffy,OP17,OP-17,,"[On Play] You may rest 1 of your DON!! cards: This Character gains [Rush] during this turn.\n[Activate:Main][Once Per Turn] If you have 5 or less cards in your hand, set up to 1 of your DON!! cards as active.",Green,Character,L,4,5000,Strike,East Blue/Straw Hat Crew,1000,,,,2026-08-05 00:00:00+00,OP17-030
OP17-031,Yasopp,OP17,OP-17,,"[On Play] Draw 1 card and rest up to 1 of your opponent's Characters with a cost of 8 or less.\n[End of Your Turn] Set up to 1 of your Characters with a type including ""Red-Haired Pirates"" as active.",Green,Character,SR,5,6000,Ranged,Red-Haired Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-031
OP17-032,Limejuice,OP17,OP-17,,"[On Play] Look at 3 cards from the top of your deck; reveal up to 1 card with a type including ""Red-Haired Pirates"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Green,Character,L,1,2000,,Red-Haired Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-032
OP17-033,Lucky.Roux,OP17,OP-17,,"[On Play] Look at 3 cards from the top of your deck; reveal up to 1 card with a type including ""Red-Haired Pirates"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.\n[On Your Opponent's Attack] You may trash this Character: Rest up to 1 of your opponent's Leader or Characters.",Green,Character,R,4,5000,,Red-Haired Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-033
OP17-034,Rockstar,OP17,OP-17,,"[Activate:Main][Once Per Turn] If your opponent's Leader has 6000 power or more, set up to 1 of your DON!! cards as active. Then, your {Red-Haired Pirates} type Leader's base power becomes 6000 until the end of your opponent's next End Phase.",Green,Character,UC,5,6000,Slash,Red-Haired Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-034
OP17-035,Roronoa Zoro,OP17,OP-17,,,Green,Character,L,7,8000,Slash,East Blue/Straw Hat Crew,2000,,,,2026-08-05 00:00:00+00,OP17-035
OP17-036,Withdraw Now And Allow Me To Save Face,OP17,OP-17,,"[Main] You may rest 6 of your DON!! cards: Rest up to 1 of your opponent's Characters. Then, K.O. up to 2 of your opponent's rested Characters with a cost of 6 or less.\n[Counter] Up to 1 of your [Shanks] gains +4000 power during this battle.",Green,Event,SEC,1,,,The Four Emperors/Red-Haired Pirates,,,,,2026-08-05 00:00:00+00,OP17-036
OP17-037,Are You That Afraid of the New Era?!!,OP17,OP-17,,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""Red-Haired Pirates"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.\n[Counter] You may rest 1 of your cards: Up to 1 of your Leader or Characters gains +3000 power during this battle.",Green,Event,SEC,1,,,The Four Emperors/Red-Haired Pirates,,,,,2026-08-05 00:00:00+00,OP17-037
OP17-038,I Think He's Seen An Ugly Future,OP17,OP-17,,"[Main] You may rest 4 of your cards: Rest up to 1 of your opponent's Characters.\n[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.",Green,Event,C,0,,,Red-Haired Pirates,,,,,2026-08-05 00:00:00+00,OP17-038
OP17-039,Rocks.D.Xebec,OP17,OP-17,,"[When Attacking] You may trash 1 card from your hand: Reveal 1 card from the top of your deck. If the revealed card's type includes ""Rocks Pirates"", draw 2 cards.",Blue,Leader,L,,5000,Slash,Rocks Pirates,,5,,,2026-08-05 00:00:00+00,OP17-039
OP17-040,Edward.Newgate,OP17,OP-17,,"[On Play] Draw 1 card.\n[Once Per Turn] When your Leader with a type including ""Rocks Pirates"" attacks or is attacked, you may trash 1 card from your hand to activate this effect. Your Leader gains +3000 power during this battle.",Blue,Character,R,6,8000,Special,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-040
OP17-041,Wang Zhi,OP17,OP-17,,"[Blocker]\n[On Play] You may trash 1 card from your hand: Place all of your opponent's Characters with a base cost of 1 at the bottom of the owner's deck in any order.",Blue,Character,UC,4,6000,Strike,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-041
OP17-042,Kaido,OP17,OP-17,,"[Blocker]\n[On Play] You may reveal 3 cards with a type including ""Rocks Pirates"" from your hand: Give up to 1 of your opponent's Characters -3000 power during this turn.",Blue,Character,R,4,6000,Strike,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-042
OP17-043,Ganzui,OP17,OP-17,,"If this Character would be removed from the field, you may trash 2 cards from your hand instead.\n[On Play] Your Leader's base power becomes 6000 until the end of your opponent's next End Phase.",Blue,Character,UC,5,7000,Special,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-043
OP17-044,Captain John,OP17,OP-17,,"If your Leader's type includes ""Rocks Pirates"" and this Character is rested, your opponent cannot attack any card other than the Character [Captain John].\n[Activate: Main] You may rest this Character: Draw 1 card and trash 1 card from your hand.",Blue,Character,UC,4,6000,Special,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-044
OP17-045,Kyo,OP17,OP-17,,"If one of your Characters would be removed from the field by your opponent's effect, you may trash 2 cards from your hand instead.\n[On Play] Draw 1 card.",Blue,Character,UC,2,4000,Slash,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-045
OP17-046,Gloriosa,OP17,OP-17,,"[Blocker]\n[On Play] Place up to 1 Character card with a cost of 5 or less at the bottom of the owner's deck.",Blue,Character,SR,4,1000,Wisdom,Amazon Lily/Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-046
OP17-048,Shiki,OP17,OP-17,,"[Rush:Character]\n[When Attacking]/[On Your Opponent's Attack][Once Per Turn] You may trash 1 card with a type including ""Rocks Pirates"" from your hand: Give up to 1 of your opponent's Characters -3000 power during this turn.",Blue,Character,SR,7,9000,Slash,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-048
OP17-049,Charlotte Linlin,OP17,OP-17,,"[On Play] Your opponent chooses one:\n- Draw 2 cards.\n- Your opponent trashes 2 cards from their hand.\n[On Your Opponent's Attack][Once Per Turn] You may trash 1 card from your hand: Up to 1 of your Leader or Characters gains +1000 power during this battle.",Blue,Character,SR,5,7000,Special,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-049
OP17-050,Streusen,OP17,OP-17,,"[On Play] Look at 2 cards from the top of your deck, sort them in any order and place them at the top or bottom of your deck. Then, draw 1 card.",Blue,Character,C,1,2000,Slash,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-050
OP17-051,Jinbe,OP17,OP-17,,,Blue,Character,UC,7,8000,,Fish-Man/Impel Down/The Sun Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-051
OP17-052,Don Marlon,OP17,OP-17,,"[On Play] Add up to 1 Blue Event with a cost of 0 from your trash to your hand.",Blue,Character,C,3,5000,Ranged,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-052
OP17-053,Barbell,OP17,OP-17,,"[On K.O.] Your opponent places 2 cards from their hand at the bottom of their deck in any order.\n[Activate:Main][Once Per Turn] You may trash 1 card from your hand: This Character gains +3000 power during this turn.",Blue,Character,C,5,7000,Strike,Fish-Man/Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-053
OP17-054,Miss Buckingham Stussy,OP17,OP-17,,"[On Play] Up to 1 of your opponent's Characters with a base cost of 6 or less cannot attack until the end of your opponent's next End Phase.\n[Activate:Main] You may rest 3 of your DON!! cards and this Character: Up to 1 of your opponent's Characters cannot attack until the end of your opponent's next End Phase.",Blue,Character,R,3,5000,Wisdom,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-054
OP17-055,There's No Authority in the World That Lasts Forever!!!,OP17,OP-17,,"[Main] You may rest 1 of your DON!! cards: Up to 1 of your [Rocks.D.Xebec] gains [Unblockable] during this turn.\n[Counter] Up to 1 of your Leader with a type including ""Rocks Pirates"" or up to 1 of your Characters with a type including ""Rocks Pirates"" gains +2000 power during this battle.",Blue,Event,R,0,,,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-055
OP17-056,Rocks Pirates,OP17,OP-17,,"[Main] You may rest 5 of your DON!! cards: Return up to 1 Character with a cost of 6 or less to the owner's hand.\n[Counter] Up to 1 of your Leader with a type including ""Rocks Pirates"" or up to 1 of your Characters with a type including ""Rocks Pirates"" gains +2000 power during this battle.",Blue,Event,UC,0,,,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-056
OP17-057,Fullalead,OP17,OP-17,,"[On Your Opponent's Attack] You may rest this Stage and trash 1 card from your hand: Up to 1 of your Leader with a type including ""Rocks Pirates"" or up to 1 of your Characters with a type including ""Rocks Pirates"" gains +1000 power during this battle.",Blue,Stage,C,1,,,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-057
OP17-058,There's No Authority in the World That Lasts Forever!!!,OP17,OP-17,,"[Main] You may rest 1 of your DON!! cards: Up to 1 of your [Rocks.D.Xebec] gains [Unblockable] during this turn.\n[Counter] Up to 1 of your Leader with a type including ""Rocks Pirates"" or up to 1 of your Characters with a type including ""Rocks Pirates"" gains +2000 power during this battle.",Blue,Event,R,0,,,Rocks Pirates,,,,,2026-08-05 00:00:00+00,OP17-058
OP17-059,Kaido,OP17,OP-17,,"[When Attacking]/[On Your Opponent's Attack][Once Per Turn] DON!!-1: Up to 1 of your opponent's Characters gain -2000 power during this turn.",Purple,Leader,L,,5000,Special,The Four Emperors/Animal Kingdom Pirates,,5,,,2026-08-05 00:00:00+00,OP17-059
OP17-060,Ulti & Page One,OP17,OP-17,,"[On Play] If your Leader has the {Animal Kingdom Pirates} type, add up to 1 DON!! from your DON!! deck and set it as active. Then, K.O. up to 1 of your opponent's Characters with 3000 power or less.",Purple,Character,R,6,6000,Strike,Animal Kingdom Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-060
OP17-061,Lead Performers,OP17,OP-17,,"[On Play] DON!!-1: If your Leader has the {Animal Kingdom Pirates} type, add up to 1 card from the top of your deck to the top of your Life cards.\n[Activate: Main] You may trash this Character: Play up to 1 [King], [Queen], or [Jack] from your hand.",Purple,Character,SR,9,11000,Strike,Fish-Man/Animal Kingdom Pirates,,,,,2026-08-05 00:00:00+00,OP17-061
OP17-062,Kaido,OP17,OP-17,,"[Blocker]\n[Your Turn][Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, add up to 1 DON!! card as active from your DON!! deck. Then, set up to 1 of your DON!! cards as active.",Purple,Character,SR,10,12000,Strike,The Four Emperors/Animal Kingdom Pirates,,,,,2026-08-05 00:00:00+00,OP17-062
OP17-063,Kaido,OP17,OP-17,,"All Character cards in your hand without a Counter have a +1000 Counter.\n[Activate:Main][Once Per Turn] DON!!-1: If this Character was played on this turn, negate the effect of up to 1 of your opponent's Characters with a cost of 6 or less during this turn, and K.O. it.",Purple,Character,SEC,10,12000,Strike,The Four Emperors/Animal Kingdom Pirates,,,,,2026-08-05 00:00:00+00,OP17-063
OP17-064,King,OP17,OP-17,,"[Blocker]\n[On Your Opponent's Attack][Once Per Turn] You may trash 1 card from your hand: up to 1 of your Leader or Character cards gains +2000 power during this battle.",Purple,Character,C,9,10000,Special,Lunarian/Animal Kingdom Pirates,,,,,2026-08-05 00:00:00+00,OP17-064
OP17-065,Queen,OP17,OP-17,,"[Banish]\n[On Play] DON!!-1: Draw 1 card. Then, up to 2 of your opponent's Characters with a cost of 5 or less cannot attack until the end of your opponent's next End Phase.",Purple,Character,UC,9,10000,Strike,Animal Kingdom Pirates,,,,,2026-08-05 00:00:00+00,OP17-065
OP17-066,Kurozumi Orochi,OP17,OP-17,,"[On Play] DON!!-1: If you have a Character with a cost of 10 or more, draw 2 cards and trash 1 card from your hand.",Purple,Character,C,1,0,Wisdom,Land of Wano/Kurozumi Clan,2000,,,,2026-08-05 00:00:00+00,OP17-066
OP17-068,Sasaki,OP17,OP-17,,"[When Attacking] You may trash 2 cards from your hand: If your Leader has the {Animal Kingdom Pirates} type, add up to 2 DON!! cards from your DON!! deck and rest them.",Purple,Character,UC,3,4000,Slash,Animal Kingdom Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-068
OP17-071,Who's.Who,OP17,OP-17,,"[On Play] DON!!-1: K.O. up to 2 of your opponent's Characters with a cost of 2 or less.\n[Trigger] Play this card.",Purple,Character,C,2,3000,Slash,Animal Kingdom Pirates/Former CP9,1000,,,,2026-08-05 00:00:00+00,OP17-071
OP17-072,Black Maria,OP17,OP-17,,"[Blocker]\n[On Your Opponent's Attack][Once Per Turn] You may trash 1 card from your hand: Up to 1 of your Leader or Characters gains +1000 power during this battle.",Purple,Character,C,2,1000,Special,Animal Kingdom Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-072
OP17-073,Basil Hawkins,OP17,OP-17,,"[On Play] You may trash 1 card from your hand: If your Leader has the {Animal Kingdom Pirates} type, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Character,SR,3,1000,Wish,Animal Kingdom Pirates/Hawkins Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-073
OP17-074,Yamato,OP17,OP-17,,"[Blocker]\n[On Play] Add up to 1 DON!! card as rested from your DON!! deck.",Purple,Character,R,3,1000,Strike,Land of Wano,1000,,,,2026-08-05 00:00:00+00,OP17-074
OP17-075,X. Drake,OP17,OP-17,,"[On Play] DON!!-2: Trash 1 card from your opponent's hand.",Purple,Character,C,2,2000,Slash,Navy/Drake Pirates/Animal Kingdom Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-075
OP17-078,Drunken Dragon Bagua,OP17,OP-17,,"[Main] You may rest 2 of your DON!! cards and trash 2 cards from your hand: If your Leader has the {Animal Kingdom Pirates} type, add up to 3 DON!! cards from your DON!! deck and rest them.\n[Counter] Give up to 1 of your Leader or Character cards +4000 power during this battle.",Purple,Event,UC,2,,,The Four Emperors/Animal Kingdom Pirates,,,,,2026-08-05 00:00:00+00,OP17-078
OP17-079,Monkey.D.Luffy,OP17,OP-17,,"All of your characters with a cost of 12 or more gain [Blocker].",Black,Leader,L,,5000,Strike,Elbaf/Four Emperors/Straw Hat Crew,,5,,,2026-08-05 00:00:00+00,OP17-079
OP17-080,Usopp,OP17,OP-17,,"If there is a Character with a cost of 12 or more, this Character gains +3000 power.\n[On Play] Look at 3 cards from the top of your deck; reveal up to 1 {Elbaph} type card and add it to your hand. Then, trash the rest.",Black,Character,SR,2,2000,Ranged,Elbaph/Straw Hat Crew,1000,,,,2026-08-05 00:00:00+00,OP17-080
OP17-081,Gerd,OP17,OP-17,,"If your Leader has the {Elbaph} type, this Character gains +12 cost.\n[On Play] You may trash 1 card from your hand: add up to 1 Character with a cost of 8 or less from your trash other than [Gerd] to your hand.",Black,Character,R,2,3000,Slash,Giant/Elbaph/New Giant Warrior Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-081
OP17-082,Sanji,OP17,OP-17,,"If there is a Character with a cost of 12 or more, this Character gains +3000 power.\n[On Play] Draw 2 cards and trash 2 cards from your hand.",Black,Character,C,2,2000,Strike,Elbaph/Straw Hat Crew,1000,,,,2026-08-05 00:00:00+00,OP17-082
OP17-083,Jinbe,OP17,OP-17,,"If there is a Character with a cost of 12 or more, this Character gains [Blocker] and +3000 power.",Black,Character,C,2,2000,Strike,Fish-Man/Elbaph/Straw Hat Crew,1000,,,,2026-08-05 00:00:00+00,OP17-083
OP17-084,Tony Tony.Chopper,OP17,OP-17,,"[On Play] If there is a Character with a cost of 12 or more, up to 1 of your Characters gains [Unblockable] during this turn. (This card cannot be blocked.)",Black,Character,UC,1,2000,Strike,Animal/Elbaph/Straw Hat Crew,2000,,,,2026-08-05 00:00:00+00,OP17-084
OP17-085,Dorry,OP17,OP-17,,"This Character gains +12 cost.\n[On Play] If your Leader has the {Elbaph} type, play up to 1 [Brogy] with a cost of 5 or less from your hand or trash. Then, you cannot play Character cards during this turn.",Black,Character,UC,5,5000,Slash,Giant/Elbaph/Giant Warrior Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-085
OP17-086,Nami,OP17,OP-17,,"[On Play] You may trash 1 {Elbaph} type card from your hand: Draw 2 cards.",Black,Character,UC,1,2000,Special,Elbaph/Straw Hat Crew,1000,,,,2026-08-05 00:00:00+00,OP17-086
OP17-087,Nico Robin,OP17,OP-17,,"If there is a Character with a cost of 12 or more, this Character gains +3000 power.\n[On Play] If there is a Character with a cost of 12 or more, give up to 1 of your opponent's Characters -3000 power during this turn.",Black,Character,R,2,2000,Strike,Elbaph/Straw Hat Crew,1000,,,,2026-08-05 00:00:00+00,OP17-087
OP17-089,Jaguar D. Saul,OP17,OP-17,,"This Character gains +12 cost.\n[On Play] Look at 3 cards from the top of your deck; reveal up to 1 {Elbaph} type card and add it to your hand. Then, trash the rest.",Black,Character,R,4,6000,Strike,Giants/Elbaph/Former Navy,,,,,2026-08-05 00:00:00+00,OP17-089
OP17-090,Franky,OP17,OP-17,,"If there is a Character with a cost of 12 or more, this Character gains +3000 power.\n[On Play] If there is a Character with a cost of 12 or more, K.O. up to 1 of your opponent's Characters with a cost of 2 or less.",Black,Character,C,2,2000,Strike,Elbaph/Straw Hat Crew,1000,,,,2026-08-05 00:00:00+00,OP17-090
OP17-091,Brook,OP17,OP-17,,"If there is a Character with a cost of 12 or more, this Character gains +3000 power.\n[On Play] If there is a Character with a cost of 12 or more, your opponent trashes 1 card from their hand.",Black,Character,C,2,2000,Slash,Elbaph/Straw Hat Crew,1000,,,,2026-08-05 00:00:00+00,OP17-091
OP17-092,Brogy,OP17,OP-17,,"This Character gains +12 cost.\n[On Play] If your Leader has the {Elbaph} type, play up to 1 [Dorry] with a cost of 5 or less from your trash or your hand. Then, you cannot play Character cards during this turn.",Black,Character,UC,5,5000,Slash,Giant/Elbaph/Giant Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-092
OP17-093,Monkey.D.Luffy,OP17,OP-17,,"If there is a Character with a cost of 12 or more, this Character gains [Rush].\n[On Play] Draw 1 card and play up to 1 Character card with a cost of 2 or less from your trash.",Black,Character,SR,8,8000,Strike,Straw Hat Crew/Four Emperors/Elbaf,,,,,2026-08-05 00:00:00+00,OP17-093
OP17-094,Rodo,OP17,OP-17,,"If your Leader has the {Elbaph} type, this Character gains +12 cost.",Black,Character,UC,1,2000,Slash,Giant/Elbaph/New Giant Pirates,2000,,,,2026-08-05 00:00:00+00,OP17-094
OP17-095,Roronoa Zoro,OP17,OP-17,,"If there is a Character with a cost of 12 or more, this Character gains +3000 power.\nIf one of your Characters would be removed from the field due by your opponent's effect, you may place 3 cards from your trash at the bottom of your deck in any order instead.",Black,Character,C,2,2000,Slash,Elbaph/Straw Hat Crew,2000,,,,2026-08-05 00:00:00+00,OP17-095
OP17-098,Gum-Gum Kong Pistol,OP17,OP-17,,"[Main] You may rest 6 of your DON!! cards: If there is a Character with a cost of 12 or more, K.O. up to 2 of your opponent's Characters with a cost of 6 or less.\n[Counter] Your Leader gains +3000 power during this battle.",Black,Event,C,1,,,Elbaph/The Four Emperors/Straw Hat Crew,,,,,2026-08-05 00:00:00+00,OP17-098
OP17-099,Charlotte Linlin,OP17,OP-17,,"[When Attacking] You may discard one card from your hand: Your opponent chooses one:\n- Discard one card from your hand. Then, add up to one card from the top of your deck to the top of your Life cards.\n- Trash 1 card from your opponent's hand.",Yellow,Leader,L,,5000,Special,The Four Emperors/Big Mom Pirates,,5,,,2026-08-05 00:00:00+00,OP17-099
OP17-101,Caribou,OP17,OP-17,,"[Activate:Main][Once Per Turn] You may add 1 card from the top or your Life cards to your hand: Give up to 1 of your opponent's Characters -3000 power during this turn.\n[Trigger] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",Yellow,Character,C,5,6000,Special,Supernovas/Caribou Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-101
OP17-102,Charlotte Oven,OP17,OP-17,,"[On K.O.] Play up to 1 Character card with 4000 power or less other than [Charlotte Oven] from your trash.\n[Trigger] Play this card.",Yellow,Character,C,4,4000,Punch,Big Mom Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-102
OP17-103,Charlotte Katakuri,OP17,OP-17,,"[Your Turn][On Play] If your Leader has the {Big Mom Pirates} type, add up to 1 card from the top of your deck to the top of your Life cards. Then, give up to 1 of your opponent's Characters -3000 power during this turn.\n[Trigger] Play this card.",Yellow,Character,UC,6,4000,Punch,Big Mom Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-103
OP17-104,Charlotte Cracker,OP17,OP-17,,"[Your Turn][On Play] You may rest 2 of your DON!! cards: If your Leader has the {Big Mom Pirates} type, add up to 1 card from the top of your deck to the top of your Life cards.\n[Trigger] Play this card.",Yellow,Character,UC,3,4000,Slash,Big Mom Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-104
OP17-105,Charlotte Chiffon,OP17,OP-17,,"[On Play] You may trash 1 card with a Trigger from your hand: Return up to 1 of your opponent's Characters with a Trigger to the owner's hand.",Yellow,Character,C,5,0,Wisdom,Firetank Pirates/Former Big Mom Pirates,1000,,,,2026-08-05 00:00:00+00,OP17-105
